"DEPT","MMK","GR","TENS","CALI","BHVT","AHVT","LLDC","LLSC","MSFL","DPHI","NPHI","RHOB","DRHO","PE","LLS","LLD","CLLD","LATITUDE","LOGITUDE"
2689.5,0,21.9514,4021.1428,8.5156,978.6595,413.8909,568.7501,580.7661,146.423,0.9972,0.8166,2.6929,0.0012,4.762,578.3203,643.7212,1.5535,"41.12738","-81.056164"
2689.75,0,22.1629,4014.627,8.5092,978.5606,413.8588,487.4928,465.2173,98.4976,1.2416,0.829,2.6888,-0.001,4.6982,463.3592,551.8004,1.8122,"41.12738","-81.056164"
2690,0,22.8169,4017.4548,8.4897,978.4619,413.8269,417.5064,396.4515,68.6992,1.639,0.8462,2.682,-0.0036,4.5769,395.1348,472.7077,2.1155,"41.12738","-81.056164"
2690.25,0,22.6542,4021.958,8.499,978.3636,413.7954,367.0643,343.6298,62.1209,2.1003,0.9768,2.6741,-0.0061,4.3984,342.218,415.5433,2.4065,"41.12738","-81.056164"
2690.5,0,22.6271,4027.3562,8.4876,978.2651,413.7638,337.04,311.7067,59.1992,2.4669,1.1611,2.6678,-0.0075,4.1769,310.2698,381.6134,2.6205,"41.12738","-81.056164"
2690.75,0,22.1879,4025.0544,8.4899,978.1669,413.7324,312.6971,285.4938,68.1047,2.9609,1.3135,2.6594,-0.0084,3.9544,283.9243,353.8926,2.8257,"41.12738","-81.056164"
2691,0,21.5078,4014.0901,8.4953,978.0686,413.7009,314.4779,282.9029,69.1177,3.35,1.47,2.6527,-0.0083,3.7663,281.2701,355.9319,2.8095,"41.12738","-81.056164"
2691.25,0,21.2724,4022.4502,8.4879,977.9702,413.6693,324.7422,295.8077,97.908,3.7114,1.5789,2.6465,-0.0074,3.6446,294.2976,367.6874,2.7197,"41.12738","-81.056164"
2691.5,0,20.3776,4047.7754,8.5031,977.8719,413.6379,369.4408,346.7833,122.9216,3.9397,1.6702,2.6426,-0.0066,3.6331,345.3379,418.2107,2.3911,"41.12738","-81.056164"
2691.75,0,20.4742,4027.7141,8.4885,977.7734,413.6061,441.3307,416.9308,158.4715,3.854,1.6415,2.6441,-0.0059,3.7385,415.563,499.6899,2.0012,"41.12738","-81.056164"
2692,0,21.1412,4041.0469,8.46,977.6751,413.5747,528.1298,498.8282,216.6414,3.5394,1.5346,2.6495,-0.0049,3.9302,497.6827,598.1998,1.6717,"41.12738","-81.056164"
2692.25,0,22.6293,4025.8586,8.4498,977.5775,413.5439,647.4495,664.7706,505.1029,2.8312,1.3171,2.6616,-0.0032,4.1656,663.4794,733.453,1.3634,"41.12738","-81.056164"
2692.5,0,24.7356,4025.7922,8.46,977.4802,413.5133,812.0647,842.9366,589.9618,2.0811,1.1921,2.6744,-0.0014,4.38,841.0002,919.8057,1.0872,"41.12738","-81.056164"
2692.75,0,26.1554,4032.7771,8.4843,977.3826,413.4825,1044.3093,1140.1022,616.0024,1.3706,1.0981,2.6866,3e-04,4.5079,1136.5298,1182.4724,0.8457,"41.12738","-81.056164"
2693,0,27.1022,4016.5828,8.4572,977.2844,413.4512,1266.8541,1298.1104,543.8673,0.9655,1.0426,2.6935,0.0011,4.5492,1295.2535,1434.9893,0.6969,"41.12738","-81.056164"
2693.25,0,27.4309,4013.1853,8.4556,977.1869,413.4205,1443.8158,1419.2305,473.4758,0.957,1.0289,2.6936,3e-04,4.5091,1416.1899,1635.4749,0.6114,"41.12738","-81.056164"
2693.5,0,26.9656,4000.7791,8.4677,977.0894,413.3898,1346.6678,1345.83,494.8639,1.0788,0.9795,2.6916,-0.0014,4.4532,1342.3838,1525.1787,0.6557,"41.12738","-81.056164"
2693.75,0,26.8777,4008.323,8.4547,976.9916,413.3589,1278.5751,1187.896,442.4608,1.2754,0.9807,2.6882,-0.0026,4.4367,1185.3854,1448.3158,0.6905,"41.12738","-81.056164"
2694,0,26.035,4009.8662,8.4474,976.8942,413.3282,1204.3567,1111.3333,433.5513,1.2529,1.0408,2.6886,-0.004,4.4873,1109.2654,1364.3806,0.7329,"41.12738","-81.056164"
2694.25,0,25.2454,4005.9099,8.482,976.7969,413.2977,1093.5055,1051.9165,446.0201,1.2156,1.2061,2.6892,-0.0054,4.6078,1048.7032,1238.2157,0.8076,"41.12738","-81.056164"
2694.5,0,24.7671,4015.2415,8.5376,976.6988,413.2664,983.5826,952.3981,313.9697,1.2526,1.2765,2.6886,-0.0067,4.724,947.6666,1112.9016,0.8986,"41.12738","-81.056164"
2694.75,0,24.6857,4029.6362,8.5854,976.5994,413.2339,913.5844,886.8268,280.4176,1.3545,1.1686,2.6868,-0.009,4.8083,880.9647,1033.0256,0.968,"41.12738","-81.056164"
2695,0,25.3462,4034.3413,8.7052,976.4989,413.2002,846.6055,805.3,257.0622,1.5465,1.0898,2.6836,-0.0107,4.8012,796.6857,955.7285,1.0463,"41.12738","-81.056164"
2695.25,0,25.8018,4030.0835,8.7051,976.3956,413.1637,715.1895,687.5585,227.8421,1.8688,1.0811,2.678,-0.0125,4.7107,680.2073,807.3754,1.2386,"41.12738","-81.056164"
2695.5,0,25.702,4027.3452,8.738,976.2922,413.1272,651.416,671.9396,206.6255,2.1098,1.1859,2.6739,-0.0129,4.5927,664.0061,735.0529,1.3604,"41.12738","-81.056164"
2695.75,0,24.7378,4034.9448,8.7444,976.1881,413.0899,550.8251,570.3531,286.4893,2.403,1.1753,2.6689,-0.0119,4.4556,563.4938,621.4921,1.609,"41.12738","-81.056164"
2696,0,23.0718,4040.7009,8.7075,976.0839,413.0524,490.9978,454.4873,209.5065,2.8497,1.1816,2.6613,-0.0109,4.3503,449.5916,554.2683,1.8042,"41.12738","-81.056164"
2696.25,0,21.4525,4048.3113,8.7541,975.9805,413.0159,472.4447,423.8287,208.8923,3.0213,1.1649,2.6583,-0.0083,4.2236,418.5932,532.9862,1.8762,"41.12738","-81.056164"
2696.5,0,19.9286,4036.5317,8.7414,975.876,412.9782,475.0814,429.1004,229.2458,3.3104,1.2524,2.6534,-0.0066,4.0327,423.9843,536.0532,1.8655,"41.12738","-81.056164"
2696.75,0,18.652,4048.7698,8.7468,975.7718,412.9408,487.5729,438.9303,249.6129,3.547,1.2949,2.6493,-0.005,3.7931,433.617,550.1078,1.8178,"41.12738","-81.056164"
2697,0,17.8527,4049.3394,8.7405,975.6675,412.9033,529.0442,474.0682,235.9774,3.5226,1.3726,2.6498,-0.0025,3.5528,468.43,596.9488,1.6752,"41.12738","-81.056164"
2697.25,0,17.6824,4041.3938,8.7382,975.5633,412.8659,545.6205,490.9149,372.1773,3.3093,1.4102,2.6534,1e-04,3.4607,485.115,615.6722,1.6242,"41.12738","-81.056164"
2697.5,0,18.5577,4053.4082,8.7499,975.4592,412.8286,623.4754,586.1343,500.1802,2.7738,1.3515,2.6626,0.0028,3.5435,578.9773,703.4109,1.4216,"41.12738","-81.056164"
2697.75,0,19.9633,4033.6035,8.7409,975.3548,412.7911,740.1147,791.5345,551.5431,2.0771,1.2338,2.6745,0.0047,3.7603,782.1093,835.1061,1.1975,"41.12738","-81.056164"
