"Depth","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Formation","chemofacies","Factor1","Factor2","Factor3"
6239,6.77,26.02,2.32,0.001,3.27,1.58,1.48,7.18,0.03,0.13,1.5,10,9.688125,102.49,51.35,154.84,11.61,47.25,139.97,9.04,"Utica FM",2,0.950280325025717,-0.688326608174885,0.43704434751926
6239.6,7.68,26.24,2.56,0.001,3.4,1.62,1.45,5.98,0.03,0.18,1.5,10,9.6340625,112.11,46.64,123.33,9.98,54.13,115.9,13.19,"Utica FM",2,0.928860265162196,-0.598305245941049,0.304209147292892
6240,6.26,25.03,1.98,0.42,3.22,1.75,1.25,10.01,0.05,0.23,1.5,122.85,9.60703125,111.27,41.99,126.84,10.41,41.64,152.06,16.47,"Utica FM",2,0.632832216334618,-1.14941244162861,0.255716890593844
6240.6,6.63,24.79,2.02,0.39,2.9,1.41,1.09,11.55,0.05,0.14,1.5,102.8,9.593515625,85.77,46.18,95.73,10.06,41.87,133.45,9.85,"Utica FM",2,0.59375825056077,-0.847675633863066,0.563334713782396
6241,4.53,19.04,1.33,0.001,2.76,1.59,0.92,19.24,0.08,0.28,1.5,10,9.5867578125,102.68,40.55,95.04,10.04,26.96,123.39,10.54,"Utica FM",2,-0.194078957530772,-0.652513657038941,0.133600243281078
6241.6,4.89,20.85,1.67,0.001,2.42,0.98,0.3,15.97,0.07,0.25,1.5,10,9.58337890625,83.83,41.98,101.9,10.29,31.13,121.08,8.68,"Utica FM",2,-0.0312031138292089,-0.468147252253641,0.451248514804935
6242,4.37,19.65,1.2,0.001,2.4,1.01,1.67,20.12,0.07,0.12,1.5,10,9.581689453125,94.1,29.9,56.79,6.77,23.53,132.47,8.7,"Utica FM",2,-0.00278052506616262,-0.680568158029984,0.769763072619518
6242.6,3.98,17.99,1.28,0.001,2.56,1.03,0.3,19.15,0.08,0.19,1.5,10,9.5808447265625,110.79,31.66,86.1,6.57,71.83,141.95,5,"Utica FM",2,0.0226984178601509,-0.781556746045623,0.857064575633095
6243,3.96,17.81,1.29,0.3,2.41,1.74,0.91,18.63,0.08,0.09,1.5,86.71,9.58042236328125,88.6,26.73,78.32,11.55,27.39,163.28,10.02,"Utica FM",2,-0.01394381440614,-0.662883398716431,0.469553956309491
6243.6,6.84,26.32,2.07,0.001,3.08,1.46,0.95,9.2,0.05,0.14,1.5,10,9.58021118164062,114.37,36.29,78.38,11.82,108.65,146.47,12.73,"Utica FM",2,0.908785128859703,-0.534838154404165,0.650636208355884
