Depth,Al_wt%,Si_wt%,K_wt%,Ti_wt%,Fe_wt%,S_wt%,Mg_wt%,Ca_wt%,Sr_wt%,P_wt%,Mo_ppm,V_ppm,U_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Th_ppm,Rb_ppm,Zr_ppm,Pb_ppm,chemofacies,Factor1,Factor2,Factor3,TOC (wt.%),Porosity,Quartz,Plagioclase,K_Feldspar,Calcite,Dolomite_Fe_Dolomite,Pyrite,Total_Clay,MBI
7810,8.65,24.62,2.74,0.001,4.5,2.99,0.89,5.45,0.03,0.02,1.5,10,2,15,7.5,7.5,22.884375,58.52,139.04,5,3,1.10178168144261,1.88662112991792,-0.0308027071985696,0.17224489795918457,3.236562499999999,22.75454545454552,6.190082644628087,0.45801652892561745,12.745785123966973,2.3049586776859567,3.4950413223140435,52.13057851239661,0.37889256198347215
7810.6,9.8,24.97,2.91,0.001,4.58,1.88,1.25,6.67,0.04,0.09,1.5,10,2,15,7.5,80.16,23.0421875,60.57,123.34,13.05,3,1.24551951704065,1.62456336343137,0.0801897564451562,0.16857142857142698,3.2431250000000027,22.645454545454548,6.209917355371902,0.46198347107438015,12.694214876033058,2.2950413223140496,3.5049586776859503,52.26942148760331,0.3771074380165289
7811,9.26,25.06,2.77,0.001,4.27,2.03,1.05,6.17,0.04,0.02,1.5,10,2,15,7.5,73.15,23.12109375,58.68,117.01,10.51,3,1.15131236014827,1.68726712700989,0.114588921723257,0.1661224489795923,3.2474999999999987,22.57272727272734,6.2231404958677565,0.4646280991735513,12.659834710743832,2.288429752066122,3.5115702479338786,52.361983471074296,0.3759173553719019
7811.6,9.52,26.4,2.95,0.52,4.51,2.18,0.91,3.96,0.03,0.02,1.5,10,2,15,7.5,69.65,23.160546875,62.87,122.39,13.17,3,1.28932451001293,1.65775897731176,0.0980250964158987,0.16244897959183469,3.2540625000000025,22.463636363636365,6.242975206611571,0.46859504132231405,12.608264462809917,2.278512396694215,3.5214876033057854,52.500826446280996,0.37413223140495866
7812,8.32,23.25,2.65,0.001,4.04,1.73,0.91,6.95,0.04,0.02,1.5,10,2,15,33.06,71.38,23.1802734375,57.52,120.12,15.57,3,0.946432457515455,1.44074420987915,-0.0890903713947213,0.16,3.2584374999999985,22.390909090909158,6.256198347107427,0.4712396694214852,12.573884297520692,2.271900826446287,3.5280991735537133,52.59338842975198,0.37294214876033166
7812.6,5,12.96,0.94,0.001,2.67,1.12,0.67,28.09,0.09,0.02,1.5,10,2,15,7.5,34.25,23.19013671875,26.1,66.73,12.1,4,-0.596171849335033,1.46467612068033,-0.013123371709871,0.17777777777778975,3.2650000000000023,22.28181818181818,6.27603305785124,0.4752066115702479,12.522314049586775,2.2619834710743802,3.53801652892562,52.73223140495868,0.3711570247933884
7813,4.19,11.37,0.95,0.001,2.54,0.79,0.68,28.02,0.09,0.02,1.5,10,2,15,7.5,56.81,23.195068359375,24.98,55.22,9.83,4,-0.666550721757511,1.35819047192814,0.129437665872079,0.18962962962963162,3.2693749999999984,22.209090909090975,6.289256198347096,0.4778512396694191,12.48793388429755,2.2553719008264523,3.544628099173548,52.82479338842967,0.3699669421487614
7813.6,9.07,25.05,2.85,0.001,4.25,2.58,1.14,5.56,0.03,0.02,1.5,10,2,15,7.5,7.5,23.1975341796875,57.32,122.11,5,3,1.11243790273826,1.83626472813431,0.114817476659313,0.2074074074074214,3.275937500000002,22.1,6.3090909090909095,0.4818181818181818,12.436363636363636,2.2454545454545456,3.5545454545454547,52.96363636363637,0.36818181818181817
7814,4.39,12.87,1.32,0.001,2.95,1.51,0.88,23.59,0.08,0.02,1.5,10,2,15,7.5,39.48,23.1987670898437,29.8,71.26,22.88,3,-0.447044837436833,1.5701520202384,-0.431994940351058,0.21925925925926326,3.280312499999998,22.027272727272795,6.322314049586765,0.48446280991735297,12.401983471074411,2.2388429752066177,3.5611570247933826,53.056198347107355,0.36699173553719117
7814.6,1.02,2.79,0.16,0.001,1.01,0.41,0.3,43.25,0.14,0.02,1.5,10,2,15,7.5,7.5,23.1993835449219,1.5,1.5,5,4,-1.9792346786691,1.28655098670298,0.0899445137159337,0.237037037037053,3.286875000000002,21.91818181818182,6.342148760330579,0.4884297520661157,12.350413223140496,2.228925619834711,3.5710743801652893,53.195041322314054,0.3652066115702479
7815,8.16,23.93,2.68,0.47,4.47,1.92,0.89,5.64,0.03,0.02,1.5,10,2,15,7.5,97.1,23.1996917724609,58.7,143.25,28.95,3,1.12733134764417,1.6047209109069,-0.269402577853235,0.24888888888889488,3.291249999999998,21.845454545454615,6.355371900826435,0.4910743801652869,12.31603305785127,2.222314049586783,3.5776859504132172,53.28760330578504,0.3640165289256209
